/*
// 注釋/例句
繁簡轉換前誤	正
// [general.TW.txt]	在自家主场设伏都不一定制得住。 (d:不+d:一定+v:制得住)
定制得住	定制得住
// 《我师兄实在太稳健了》	这鸿蒙紫气都是他参与制作的， (~製作<VOB>v:参与 r:这+n:鸿蒙+n:紫气+d:都+v:是+r:他+v:参与+v:制作+u:的+wp:，)
参与制作	參與製作
// 《烂柯棋缘》	而是老牛刚刚居然能趁他不备制住他手脚， (~制<role.type:ARGM-DIS>而是 ~制<role.type:A0>老牛 ~制<role.type:ARGM-ADV>刚刚 ~制<role.type:ARGM-ADV>居然 ~制<role.type:A1>他手脚 c:而是+nh:老牛+d:刚刚+d:居然+v:能+p:趁+r:他不备+v:制+v:住+r:他+n:手脚+wp:，)
不备制住	不備制住
// 《中国历史那些事儿系列套装》	国家改制为郡县制， (~改制<role.type:A1>国家 n:国家+v:改制+v:为+n:郡县制+wp:，)
国家改制	國家改制
// 解析錯誤 @ 《中国历史那些事儿系列套装》	头曼实行了长子继承制， (n:长子+v:继承制) (n:长子+n:继承制)
// 《玩家超正义》	肯定是长子继承制 (~長子繼承制<VOB>v:是 d:肯定+v:是+n:长子继承制)
长子继承制	長子繼承制

// 《烂柯棋缘》	这鱼线是养蚕人取蚕丝囊揉在一起拉制阴干的， (~拉製<←VOB>a:阴干 v:揉+p:在+nl:一起+v:拉制+a:阴干+u:的) (~拉製<role.type:A0>养蚕人 ~拉製<role.type:A1>阴干 ~拉製<←VOB>n:阴干 v:揉+p:在+nl:一起+v:拉制+n:阴干+u:的)
拉制	拉製
// 解析錯誤 @ 《烂柯棋缘》	春季都会上山采摘野茶叶，回家自己炒制， (v:回家+r:自己+v:炒制)
炒制	炒製
// 解析錯誤 @ 《咫尺之间人尽敌国》	能不能多备制一些， (n:多备制+m:一些) (a:多+v:备制+m:一些)
备制	備製
// 石制階梯
石制	石製
// 解析錯誤 @ 《我的一天有48小时》	不但用的是金制果盘， (~金製<ATT>n:果盘 ~金製<parent.relate:FEAT>n:果盘 v:用+u:的+v:是+b:金制+n:果盘)
金制	金製
// 《烂柯棋缘》	身后有两人都身穿绸制劲装， (~綢製<ATT>n:劲装 nd:身后+v:有+m:两+n:人+d:都+v:身穿+b:绸制+n:劲装+wp:，)
绸制	綢製
// 《我师兄实在太稳健了》	或是泥土黏制、面容简陋， (n:泥土+v:黏制)
黏制	黏製
切制	切製
釉制	釉製
凿制	鑿製
烤制	烤製
// 解析錯誤 @ 《一品修仙》	这是自己的制香水平大有长进了， (~製香<←ATT>r:自己 r:自己+u:的+v:制香+n:水平)
制香	製香
// 解析錯誤 @ 《一品修仙》	昨个制符心神消耗太多， (~製符<ATT>n:心神 nt:昨+q:个+v:制符+n:心神+v:消耗+d:太+a:多) (nt:昨+q:个+n:制符+n:心神+v:消耗+d:太+a:多+wp:，)
制符	製符
// 《咫尺之间人尽敌国》	那就制剑， (~製<role.type:ARGM-DIS>那 ~製<role.type:ARGM-ADV>就 ~製<role.type:A1>剑 r:那+d:就+v:制+n:剑+wp:，)
制剑	製劍
// [general.TW.txt]	塑胶袋裁切制袋机。 (v:裁切+n:制袋机)
制袋机	製袋機
制币	製幣
制珠	製珠
// 解析錯誤 @ 《宋朝游历指南》	比制纱的工艺技术还要复杂得多， (~製<ATT>n:技术 ~製<role.type:A1>纱 ~製<parent.relate:dFEAT>p:比 p:比+v:制+n:纱+u:的+n:工艺+n:技术+v:还要+a:复杂+u:得+a:多) (~製<ATT>n:技术 p:比+n:制+n:纱+u:的+n:工艺+n:技术) (~製紗<ATT>n:技术 p:比+v:制纱+u:的+n:工艺+n:技术)
制纱	製紗
// 解析錯誤 @ 《宋朝游历指南》	制墨业、 (n:制墨业)
// 解析錯誤 @ 《烂柯棋缘》	县中多得是靠着制墨发家的大户， (~製<POB>p:靠 ~製<role.type:A1>墨 ~製<parent.relate:dMANN>n:大户 p:靠+u:着+v:制+n:墨+v:发家+u:的+n:大户) (~發家<ATT>n:大户 ~發家<role.type:ARGM-MNR>靠着制墨 ~發家<←ADV>p:靠 p:靠+u:着+v:制+n:墨+v:发家+u:的+n:大户) (~製墨<SBV>v:发家 p:靠+u:着+v:制墨+v:发家)
制墨	製墨
// 解析錯誤 @ 《第一序列》	这61号壁垒好像直接消灭了一个行业，制锁业……
制锁	製鎖
制铁	製鐵
// 《烂柯棋缘》	根本不可能是晒制好的药材吧？ (~製<COO>v:晒 d:根本+d:不+v:可能+v:是+v:晒+v:制+a:好+u:的+n:药材+u:吧+wp:？)
// 《一品修仙》	一口气把店里制好的基础符篆全部填了符胆。 (~製<ATT>n:符篆 ~製<role.type:ARGM-LOC>店里 ~製<role.type:A1>符篆 d:一口气+p:把+n:店+nd:里+v:制+a:好+u:的+n:基础+n:符篆+m:全部+v:填+u:了+n:符胆+wp:。)
制好的	製好的
// 解析錯誤 @ 《咫尺之间人尽敌国》	能不能多备制一些， (n:多备制+m:一些) (a:多+v:备制+m:一些)
多备制	多備製
// 《苍青之剑》	诺服用了新制备的“灵体iii”魔药， (~製備<ATT>n:魔药 ~製備<role.type:ARGM-ADV>新 ~製備<role.type:A1>魔药 nh:诺+v:服用+u:了+d:新+v:制备+u:的+wp:“+nz:灵体iii+wp:”+n:魔药+wp:，)
新制备	新製備
// 《我师兄实在太稳健了》	就是门内弟子排名的排行，也该重新制作一番， (d:也+v:该+d:重新+v:制作+m:一番) 匹配的條件式: 新制
新制作	新製作


冰系	冰系
火系	火系
佛系	佛系
// 连系统都
连系统	連系統
// 给我系统
我系统	我系統
介系词	介系詞

// 《神国之上》	同是系铃与解铃之人。 (~繫鈴<ATT>n:人 ~繫鈴<role.type:A0>人 d:同+v:是+v:系铃+c:与+v:解铃+u:之+n:人+wp:。)
系铃	繫鈴
// 《神国之上》	解开岸边系舟的绳索， (~繫<ATT>n:绳索 ~繫<role.type:ARGM-LOC>岸边 ~繫<role.type:A1>舟 ~繫<role.type:ARGM-MNR>绳索 v:解开+nl:岸边+v:系+n:舟+u:的+n:绳索+wp:，)
系舟的	繫舟的
// 《神国之上》	系衣带时有种肉眼可见的松感。 (~繫<role.type:A1>衣带 v:系+n:衣带+n:时+v:有+q:种+n:肉眼+v:可见+u:的+n:松感)
系衣带	繫衣帶
// 解析錯誤 @ 《我在幕后调教大佬》	赵离严重怀疑凤凰让这些鸟儿系头发时掺杂了私货。 (v:让+r:这+q:些+n:鸟儿+n:系头发+n:时)
系头发	繫頭髮
// 《神国之上》	以灵力系住断剑， (~繫<role.type:ARGM-MNR>以灵力 ~繫<role.type:A1>断剑 p:以+n:灵力+v:系+v:住+n:断剑+wp:，)
力系住	力繫住
// 《中国历史那些事儿系列套装》	人心尽失，何人愿系之？ (~繫<role.type:A1>人心尽失 ~繫<role.type:A0>何人 ~繫<role.type:A1>之 n:人心+v:尽+v:失+wp:，+r:何人+v:愿+v:系+r:之+wp:？)
愿系之	願繫之
// 《我师兄实在太稳健了》	刚刚为彼此系上了‘新郎新娘’红布的敖乙、姜思儿， (d:刚刚+p:为+r:彼此+v:系+v:上+u:了)
彼此系上	彼此繫上


// ~卷
// 卷舒
舒卷	舒卷
舒卷自如	舒卷自如
// 《我师兄实在太稳健了》	但云舒云卷自成奇景， (~雲舒雲卷<SBV>v:成 c:但+i:云舒云卷+d:自+v:成+n:奇景+wp:，)
但云舒云卷	但雲舒雲卷
// ** fix "那卷"
// 《神国之上》	但是那卷宗上说， (c:但是+r:那+n:卷宗+nd:上+v:说+wp:，)
// 解析錯誤 @ 《我师兄实在太稳健了》	那卷宗所显， (r:那+n:卷宗+u:所+v:显)
那卷宗	那卷宗
// 《平平无奇大师兄》	陆长生也能从那卷轴上感觉到一股气息。 (nh:陆长生+d:也+v:能+p:从+r:那+n:卷轴+nd:上+v:感觉+v:到+m:一+q:股+n:气息)
那卷轴	那卷軸
// 《神国之上》	那卷名不知是什么时代的文字， (~卷名<SBV>v:是 r:那+n:卷名+v:不知+v:是+r:什么+n:时代+u:的+n:文字+wp:，)
那卷名	那卷名
// 《一品修仙》	顿时感觉到可以操控卷轴了。 (~卷軸<VOB>v:操控 d:顿时+v:感觉+v:到+v:可以+v:操控+n:卷轴+u:了+wp:。)
控卷轴	控卷軸
// 《从红月开始》	飞快的在羊皮卷上写下了一行文字： (~羊皮卷<ATT>nd:上 z:飞快+u:的+p:在+n:羊皮卷+nd:上+v:写+v:下+u:了+m:一+q:行+n:文字+wp:：)
羊皮卷	羊皮卷

// 解析錯誤 @ 《烂柯棋缘》	稍稍平复一下不安的闵弦就这么愣愣地看着计缘将画卷起， (~畫捲<POB>p:将 d:稍稍+v:平复+m:一下+a:不安+u:的+nh:闵弦+d:就+r:这么+z:愣愣地+v:看+u:着+nh:计缘+p:将+n:画卷+v:起+wp:，)
画卷起	畫捲起
// 《神国之上》	她微微卷起了衣袖， (~捲<role.type:A0>她 ~捲<role.type:ARGM-ADV>微微 ~捲<role.type:A1>衣袖 r:她+d:微微+v:卷+v:起+u:了+n:衣袖+wp:，)
微卷起	微捲起
// 《烂柯棋缘》	两只纸翅膀一边一条，微微卷着紫竹的梢顶， (~捲<role.type:A0>两只纸翅膀 ~捲<role.type:ARGM-ADV>微微 ~捲<role.type:A1>紫竹的梢顶 m:两+q:只+n:纸+n:翅膀+nd:一边+m:一+q:条+wp:，+d:微微+v:卷+u:着+n:紫竹+u:的+n:梢顶+wp:，)
微卷着	微捲著
// 《烂柯棋缘》	正是之前路过山里某处时顺手卷来的剑意帖。 (~捲<ATT>n:剑意帖 ~捲<role.type:ARGM-TMP>之前路过山里某处时 ~捲<role.type:ARGM-ADV>顺手 ~捲<role.type:A1>剑意帖 v:正是+nd:之前+v:路过+nl:山里+r:某处+n:时+d:顺手+v:卷+v:来+u:的+n:剑意帖+wp:。)
// 《从红月开始》	有个年青人，正坚定的看着那些触手卷来， (~觸手捲<VOB>v:看 v:有+q:个+n:年青人+wp:，+d:正+a:坚定+u:的+v:看+u:着+r:那些+n:触手卷+v:来+wp:，)
手卷来	手捲來
// ~捲
卷着	捲著
// 解析錯誤 @ 《超神机械师》	风沙卷散。 (~捲<role.type:A0>风沙 ~捲<←CMP>v:散 n:风沙+v:卷+v:散)
// 《咫尺之间人尽敌国》	轰然卷散， (~捲散<COO>v:爆发 d:轰然+v:卷散+wp:，)
卷散	捲散
// 《亏成首富从游戏开始》	地上开始打霜之后选用刚卷紧菜心的白菜， (~捲<ATT>n:白菜 nl:地上+v:开始+v:打+n:霜+nd:之后+v:选用+d:刚+v:卷+a:紧+n:菜心+u:的+n:白菜+wp:，)
卷紧	捲緊
// 《玩家超正义》	裹着一身卷满了寒霜的冷风， (~捲<ATT>n:冷风 ~捲<role.type:A2>寒霜 v:裹+u:着+m:一+q:身+v:卷+a:满+u:了+n:寒霜+u:的+n:冷风+wp:，)
卷满了	捲滿了
// 《中国历史那些事儿系列套装》	此话像风一下卷遍偌大的县城， (~捲<role.type:A0>此话 ~捲<role.type:ARGM-ADV>像风 ~捲<role.type:ARGM-ADV>一下 ~捲<role.type:A1>偌大的县城 r:此话+v:像+n:风+m:一下+v:卷+v:遍+b:偌大+u:的+n:县城+wp:，)
// 《中国历史那些事儿系列套装》	风一样卷遍了长安。 (~捲<role.type:ARGM-ADV>风一样 ~捲<role.type:A1>长安 n:风+u:一样+v:卷+v:遍+u:了+ns:长安+wp:。)
卷遍	捲遍
// 解析錯誤 @ 《亏成首富从游戏开始》	卷钱跑路可不是说跑就跑， (q:卷+n:钱+v:跑路) (~捲<role.type:A1>钱 v:卷+n:钱+v:跑路+d:可+d:不+v:是+v:说+v:跑+d:就+v:跑)
// 《亏成首富从游戏开始》	卷钱跑路原本也是他的备选项之一。 (~捲錢<COO>v:指派 v:卷钱+v:跑路+d:原本+d:也+v:是+r:他+u:的+n:备选项+r:之一+wp:。)
卷钱	捲錢
// 《亏成首富从游戏开始》	俯卧撑、卷腹等等， (~捲腹<COO>n:俯卧撑 n:俯卧撑+wp:、+v:卷腹+u:等等+wp:，)
// 《亏成首富从游戏开始》	卷腹， (v:卷腹+wp:，)
卷腹	捲腹
// 《咫尺之间人尽敌国》	剑罡骤卷！ (~捲<role.type:A1>剑罡 ~捲<role.type:ARGM-ADV>骤 n:剑+n:罡+d:骤+v:卷+wp:！)
骤卷	驟捲
// 《神国之上》	悠悠飘卷的雪花里， (~捲<COO>v:飘 z:悠悠+v:飘+v:卷+u:的+n:雪花+nd:里+wp:，)
// 《神国之上》	又是大雪飘卷的时间， (~卷<VOB>v:飘 d:又+v:是+n:大雪+v:飘+v:卷+u:的+n:时间+wp:，)
飘卷	飄捲
// 《神国之上》	向着这里裹卷而来。 (p:向着+r:这里+v:裹卷+c:而+v:来)
// 《神国之上》	一触即爆的光亮宛若狂风裹卷无数的雪白纸屑向着四周肆虐。 (~捲<COO>v:裹 i:一触即爆+u:的+n:光亮+v:宛若+n:狂风+v:裹+v:卷+m:无数+u:的+z:雪白+n:纸屑+p:向着+nd:四周+v:肆虐+wp:。)
裹卷	裹捲
// 解析錯誤 @ 《大奉打更人》	头发焦卷的钟璃蹲在地上， (~焦捲<←SBV>n:头发 n:头发+a:焦卷+u:的+n:钟璃) (~捲<ATT>nh:钟璃 ~捲<←SBV>n:头发 ~捲<←ATT>a:焦 n:头发+a:焦+v:卷+u:的+nh:钟璃)
焦卷	焦捲
// 解析錯誤 @ 《我在幕后调教大佬》	云翻雾卷， (~捲<COO>v:翻 ~捲<role.type:A1>雾 n:云+v:翻+n:雾+v:卷) (n:云+v:翻+n:雾卷)
雾卷	霧捲
// 《神国之上》	湖水分浪，高卷数丈， (~捲<COO>v:分 n:湖水+v:分+n:浪+wp:，+a:高+n:卷+m:数+q:丈+wp:，)
高卷	高捲
// 解析錯誤 @ 《烂柯棋缘》	三昧真火倾卷而出。 (~傾捲<COO>v:张 n:三昧真火+v:倾卷+c:而+v:出+wp:。) (~捲<VOB>v:倾 n:三昧真火+v:倾+n:卷+c:而+v:出+wp:。)
倾卷	傾捲
// 《大奉打更人》	毯子一卷,把自己团成鸡肉卷， (~雞肉捲<VOB>v:成 n:毯子+m:一+v:卷+wp:,+p:把+r:自己+v:团+v:成+n:鸡肉卷+wp:，)
肉卷	肉捲
// 《玩家超正义》	就好比是固定培根卷的牙签一样。 (~培根捲<VOB>v:固定 d:就+v:好比+v:是+v:固定+n:培根卷+u:的+n:牙签+u:一样+wp:。)
培根卷	培根捲
// 《一品修仙》	从案前飞卷而出， (~捲<COO>v:飞 p:从+nl:案前+v:飞+v:卷+c:而+v:出+wp:，)
飞卷而	飛捲而
// 《一品修仙》	那狂风骤雨，逆卷而上， (~捲<role.type:A1>那狂风骤雨 ~捲<role.type:ARGM-ADV>逆 r:那+n:狂风+n:骤雨+wp:，+d:逆+v:卷+c:而+v:上+wp:，)
逆卷而	逆捲而
// 解析錯誤 @ 《神国之上》	头顶上五片冠羽如细长后卷的花瓣， (~後捲<ATT>n:花瓣 n:头顶+nd:上+m:五+q:片+n:冠羽+v:如+z:细长+nd:后卷+u:的+n:花瓣+wp:，) (~捲<ATT>n:花瓣 n:头顶+nd:上+m:五+q:片+n:冠羽+v:如+a:细长+nd:后+v:卷+u:的+n:花瓣+wp:，)
后卷的	後捲的
// 《苍青之剑》	就是她被雪崩卷下去那次…… (~捲<ATT>q:次 ~捲<role.type:A0>雪崩 d:就+v:是+r:她+p:被+n:雪崩+v:卷+v:下去+r:那+q:次+wp:……)
卷下去	捲下去
// 《烂柯棋缘》	将袖口卷下来， (~捲<role.type:A1>袖口 p:将+n:袖口+v:卷+v:下来+wp:，)
卷下来	捲下來
// 《烂柯棋缘》	然后被直接卷下了水。 (c:然后+p:被+a:直接+v:卷+v:下+u:了+n:水+wp:。)
卷下了	捲下了
// 《苍青之剑》	从本卷开始， (~本卷<ADV>v:开始 p:从+r:本卷+v:开始+wp:，)
卷开始	卷開始
// 《烂柯棋缘》	这时候燕飞才低头看到是什么卷在了自己腰上。 (~捲<VOB>v:是 r:这时候+nh:燕飞+d:才+v:低头+v:看到+v:是+r:什么+v:卷+v:在+u:了+r:自己+n:腰+nd:上+wp:。)
卷在了	捲在了
// 《一品修仙》	有着一头蓝色小卷毛的小鲛人， (~小捲毛<VOB>v:有着 v:有着+m:一+q:头+n:蓝色+n:小卷毛+u:的+a:小+n:鲛人+wp:，) (~捲毛<VOB>v:有着 v:有着+m:一+q:头+n:蓝色+n:小+n:卷毛+u:的+a:小+n:鲛人+wp:，)
小卷毛	小捲毛
// 《我师兄实在太稳健了》	自己已经卷入了奇奇怪怪的因果。 (~捲入<role.type:A1>自己 ~捲入<role.type:ARGM-ADV>已经 ~捲入<role.type:A2>奇奇怪怪的因果 r:自己+d:已经+v:卷入+u:了+z:奇奇怪怪+u:的+n:因果+wp:。)
经卷入	經捲入
// 《咫尺之间人尽敌国》	爆炸形成的高频气压卷起的飓风携带着摧枯拉朽的力量轰中他的身躯， (~捲<ATT>n:飓风 v:爆炸+v:形成+u:的+b:高频+n:气压+v:卷+v:起+u:的+n:飓风+v:携带+u:着+i:摧枯拉朽+u:的+n:力量+v:轰+v:中+r:他+u:的+n:身躯+wp:，)
压卷起	壓捲起
// 《一品修仙》	秦阳静静的看着前方海浪越卷越高， (~捲<VOB>v:看 ~捲<role.type:A1>前方海浪 ~捲<role.type:ARGM-ADV>越 nh:秦阳+z:静静的+v:看+u:着+nl:前方+n:海浪+d:越+v:卷+d:越+a:高+wp:，)
越卷越	越捲越
// 解析錯誤 @ 《一品修仙》	揉了揉小家伙的湛蓝色自来卷， (n:湛蓝色+n:自来卷) (~自來捲<COO>v:揉 n:湛蓝色+d:自来卷)	秦阳揉了揉小七的自来卷。 (nh:小七+u:的+n:自+v:来卷)
自来卷	自來捲
// 《大奉打更人》	褐色的头发天然卷， (~捲<role.type:A0>褐色的头发 ~捲<role.type:ARGM-ADV>天然 n:褐色+u:的+n:头发+b:天然+v:卷+wp:，)
天然卷	天然捲
// 解析錯誤 @ 《大奉打更人》	头发天然带卷， (~捲<VOB>v:带 n:头发+d:天然+v:带+v:卷) (~捲<VOB>v:带 n:头发+d:天然+v:带+n:卷) (n:头发+b:天然+v:带+n:卷)	头发天生带卷， (~捲<VOB>v:带 n:头发+d:天生+v:带+n:卷) (n:头发天生+v:带+n:卷+wp:，) (n:头发天生+v:带卷+wp:，) (n:头发+z:天生+v:带+n:卷)
天然带卷	天然帶捲
天生带卷	天生帶捲
// 解析錯誤 @ 《烂柯棋缘》	并且这春气不是简单新春云气卷落， (a:简单+nt:新春+n:云气+v:卷+v:落) (nt:新春云气+v:卷落) (nt:新春+n:云气+v:卷落)
// 解析錯誤 @ 《神国之上》	开始卷落它如钢铁般坚硬的毛羽。 (~捲<role.type:A1>它如钢铁般坚硬的毛羽 ~捲<←ADV>v:开始 ~捲<←CMP>v:落 v:开始+v:卷+v:落+r:它+v:如+n:钢铁+u:般+a:坚硬+u:的+n:毛羽) (~捲落<role.type:A1>它如钢铁般坚硬的毛羽 ~捲落<←ADV>v:开始 ~捲落<←VOB>n:毛羽 v:开始+v:卷落+r:它+v:如+n:钢铁+u:般+a:坚硬+u:的+n:毛羽)
云气卷落	雲氣捲落
开始卷落	開始捲落
// 解析錯誤 @ 《中国历史那些事儿系列套装》	这项措施，有如风云卷集， (~捲<VOB>v:有如 ~捲<←SBV>n:风云 ~捲<←COO>v:集 v:有如+n:风云+v:卷+v:集) (~捲集<←SBV>n:风云 v:有如+n:风云+v:卷集) (v:有如+i:风云卷集)
风云卷集	風雲捲集
// 《神国之上》	这些金色的光雾铺天卷地， (~捲<COO>v:铺天 ~捲<role.type:A0>这些金色的光雾 ~捲<role.type:A1>地 r:这些+n:金色+u:的+n:光+n:雾+v:铺天+v:卷+n:地+wp:，)
铺天卷地	鋪天捲地
// 解析錯誤 @ 《我师兄实在太稳健了》	身周火焰四卷四面八方， (~捲<←SBV>n:火焰 n:身+nd:周+n:火焰+m:四+q:卷+i:四面八方)
火焰四卷	火焰四捲
// 解析錯誤 @ 《烂柯棋缘》	燕飞长剑翻卷， (~捲<VOB>v:翻 n:燕+v:飞+n:长剑+v:翻+n:卷+wp:，)
长剑翻卷	長劍翻捲
// 《烂柯棋缘》	而尸首也被破席子卷在一起。 (~捲<role.type:ARGM-DIS>而 ~捲<role.type:A1>尸首 ~捲<role.type:ARGM-DIS>也 ~捲<role.type:A2>破席子 ~捲<role.type:ARGM-ADV>在 ~捲<role.type:ARGM-ADV>一起 c:而+n:尸首+d:也+p:被+a:破+n:席子+v:卷+p:在+nl:一起+wp:。)
卷在一起	捲在一起
// 《宋朝游历指南》	她脱了外面衫子，卷做一团， (~捲<COO>v:脱 ~捲<role.type:A0>她 ~捲<role.type:A2>一团 r:她+v:脱+u:了+nd:外面+n:衫子+wp:，+v:卷+v:做+m:一+q:团+wp:，)
卷做一团	捲做一團
// 《中国历史那些事儿系列套装》	草长冬来风又卷。 (~捲<COO>a:长 ~捲<role.type:ARGM-TMP>冬来 ~捲<role.type:A1>风 ~捲<role.type:ARGM-ADV>又 n:草+a:长+nt:冬+v:来+n:风+d:又+v:卷+wp:。)
风又卷	風又捲
// 《苍青之剑》	灿烂的金发打着卷儿披在肩头， (~捲兒<VOB>v:打 a:灿烂+u:的+n:金发+v:打+u:着+n:卷儿+v:披+p:在+n:肩头+wp:，)
打着卷	打著捲

// 《咫尺之间人尽敌国》	猛然一卷，彻底将超脱真神的意志朝精神世界中卷去。 (~捲<←ADV>d:猛然 d:猛然+m:一+v:卷+wp:，)
// 解析錯誤 @ 《超神机械师》	猛然一卷， (~捲<role.type:ARGM-ADV>猛然 ~捲<role.type:ARGM-ADV>一 d:猛然+m:一+q:卷+wp:，)
// 解析錯誤 @ 《超神机械师》	突然一卷， (a:突然+m:一+q:卷+wp:，)
然一卷	然一捲
// 《从红月开始》	顺势一卷， (~捲<role.type:ARGM-ADV>顺势 ~捲<role.type:ARGM-ADV>一 d:顺势+m:一+v:卷+wp:，)
